Source Target
470450388 870323894
870323894 470450388
11554482 28631637
28631637 11554482
1063964017 258957310
258957310 1063964017
84731418 1584875376
1584875376 84731418
418803338 523539873
523539873 418803338
506505588 2409921199
2409921199 506505588
191567917 392959733
392959733 191567917
2490949457 39165493
39165493 2490949457
38467384 35834072
35834072 38467384
16078257 27970716
27970716 16078257
40378935 768380431
768380431 40378935
70533195 185091406
185091406 70533195
2232387650 446691061
446691061 2232387650
54590766 98968229
523539873 418803338
418803338 523539873
1541521722 286503685
520822010 612200628
480828212 286714608
480828212 1866103183
286714608 480828212
1866103183 480828212
109062362 27970716
27970716 109062362
2295892588 2774097167
2774097167 2295892588
131709086 41829451
41829451 131709086
381532375 387949689
381532375 193155102
387949689 381532375
193155102 381532375
1912146536 287730314
287730314 1912146536
2409921199 430165833
2409921199 506505588
430165833 2409921199
506505588 2409921199
1387582820 1334384900
1334384900 1387582820
392959733 191567917
191567917 392959733
262360972 1449278797
464316103 470649270
470649270 464316103
39165493 2490949457
2490949457 39165493
35834072 38467384
38467384 35834072
2289068064 1258283976
2289068064 597851555
2289068064 1032091164
2289068064 801470581
1258283976 2289068064
597851555 2289068064
1032091164 2289068064
801470581 2289068064
2684053606 541178538
541178538 2684053606
380934353 168532085
168532085 380934353
371957360 435036044
435036044 371957360
870323894 470450388
470450388 870323894
504220475 57707109
57707109 504220475
262987311 504220475
446691061 2232387650
2232387650 446691061
1975716493 399458716
399458716 1975716493
1007393280 960636158
27970716 16078257
27970716 109062362
16078257 27970716
109062362 27970716
258957310 1063964017
1063964017 258957310
1534454587 52594985
52594985 1534454587
69178632 384052060
1032091164 2289068064
2289068064 1032091164
487843108 776977777
776977777 487843108
28631637 11554482
11554482 28631637
27347296 838546968
27347296 1134852266
27347296 821982482
838546968 27347296
1134852266 27347296
821982482 27347296
75356276 24013474
24013474 75356276
47574752 193155102
185091406 70533195
70533195 185091406
541178538 2684053606
2684053606 541178538
499086313 387949689
499086313 416779046
387949689 499086313
435036044 207296404
416779046 207296404
446703936 488032805
488032805 446703936
1849880264 1064477576
41829451 131709086
131709086 41829451
168532085 380934353
380934353 168532085
262360972 433807489
262360972 460536163
262360972 1449278797
373674498 847572793
847572793 373674498
1007393280 960636158
119898851 137131427
137131427 119898851
613572746 520822010
613572746 304065364
520822010 613572746
304065364 613572746
821982482 27347296
27347296 821982482
1849880264 1064477576
1058761578 579394937
579394937 1058761578
204505963 702174332
702174332 204505963
433807489 770639552
433807489 492511146
770639552 433807489
262360972 433807489
236259337 362908024
236259337 356549145
236259337 60212934
362908024 236259337
356549145 236259337
579394937 1058761578
1058761578 579394937
399458716 1975716493
1975716493 399458716
19881311 488032805
488032805 19881311
847572793 373674498
373674498 847572793
149730039 397386925
397386925 149730039
216915562 69178632
216915562 593259038
69178632 216915562
593259038 216915562
52594985 1534454587
1534454587 52594985
287730314 1912146536
1912146536 287730314
470649270 464316103
1334384900 470649270
464316103 470649270
520822010 613572746
613572746 520822010
416779046 207296404
499086313 416779046
790627525 416779046
318159249 266752871
266752871 318159249
430165833 2409921199
2409921199 430165833
1258283976 2289068064
2289068064 1258283976
362908024 236259337
236259337 362908024
266752871 318159249
318159249 266752871
838546968 27347296
27347296 838546968
702174332 204505963
204505963 702174332
488032805 446703936
488032805 19881311
446703936 488032805
19881311 488032805
597879076 1334384900
1334384900 597879076
433807489 492511146
460536163 492511146
415030595 597851555
597851555 415030595
236259337 60212934
328058897 464362312
304065364 613572746
613572746 304065364
24013474 75356276
75356276 24013474
593259038 216915562
216915562 593259038
1866103183 480828212
480828212 1866103183
129085068 541379799
541379799 129085068
397386925 149730039
149730039 397386925
1134852266 27347296
27347296 1134852266
69178632 216915562
69178632 384052060
216915562 69178632
54590766 98968229
